step_0,step_1,0_n0,0_n1,1_n1,1_n2,1_n3
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:P49638",CHEMBL.COMPOUND:CHEMBL1200689
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL11359
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375
UniProtKB:P49638",MESH:D010957
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574
UniProtKB:Q12882",MESH:D034741
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL1622
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P42898
UniProtKB:Q12882",CHEBI:15378
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375
UniProtKB:P42574",CHEMBL.COMPOUND:CHEMBL600
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375
UniProtKB:P42898",CHEMBL.COMPOUND:CHEMBL135
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P42898",CHEMBL.COMPOUND:CHEMBL1234613
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL985
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",MESH:D012045
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375
UniProtKB:Q12882",MESH:D024506
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574
UniProtKB:Q12882",UMLS:C0243071
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",UMLS:C0086222
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL185
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",MESH:D004364
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375
UniProtKB:P49638",CHEMBL.COMPOUND:CHEMBL2109588
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL2369717
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898",MESH:D011401
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL1543
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574
UniProtKB:P42898",CHEMBL.COMPOUND:CHEMBL1201583
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574",CHEBI:5920
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL407009
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898",CHEBI:37527
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P49638",CHEBI:137177
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL3318021
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",CHEBI:33699
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01375
UniProtKB:Q12882",CHEBI:23357
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574",CHEMBL.COMPOUND:CHEMBL1201753
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL1200574
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898",CHEMBL.COMPOUND:CHEMBL42
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P00441
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL1232653
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01375
UniProtKB:Q12882",CHEBI:88137
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL15594
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL406291
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P42574
UniProtKB:P49638",CHEMBL.COMPOUND:CHEMBL1047
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEBI:27026
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898",CHEMBL.COMPOUND:CHEMBL1201451
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574",CHEMBL.COMPOUND:CHEMBL71595
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898",RXNORM:1111
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574",CHEMBL.COMPOUND:CHEMBL140
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42574",CHEMBL.COMPOUND:CHEMBL1236594
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",CHEMBL.COMPOUND:CHEMBL1201055
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P49638",CHEBI:53439
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00374
UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375",MESH:D030421
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",MESH:D020218
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL90593
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898
UniProtKB:Q12882",VANDF:4021594
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P42898",CHEMBL.COMPOUND:CHEMBL792
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P00441
UniProtKB:P01138
UniProtKB:P01210
UniProtKB:P01375",CHEMBL.COMPOUND:CHEMBL337702
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:P01138
UniProtKB:P01375
UniProtKB:P49638
UniProtKB:Q12882",UMLS:C0772158
icees-dili:MESH:D006760,arax:MESH:D009422,MESH:D006760,MESH:D009422,MONDO:0005071,"UniProtKB:O43272
UniProtKB:P01375
UniProtKB:P42574
UniProtKB:Q12882",CHEBI:2767
