step_0,step_1,0_n0,0_n1,1_n1,1_n2,1_n3
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF
UniProtKB:P42898, MTHFR
UniProtKB:P49638, TTPA","CHEMBL.COMPOUND:CHEMBL1200689, Nitric oxide"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:O43272, PRODH
UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42574, CASP3
UniProtKB:Q12882, DPYD","MESH:D034741, Bevasiranib"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00374, DHFR
UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42898, MTHFR
UniProtKB:Q12882, DPYD","CHEMBL.COMPOUND:CHEMBL1622, Folic acid"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00374, DHFR
UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF
UniProtKB:P49638, TTPA",MESH:D010957
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:O43272, PRODH
UniProtKB:P00374, DHFR
UniProtKB:P00441, SOD1
UniProtKB:P42898, MTHFR
UniProtKB:Q12882, DPYD","CHEBI:15378, Hydron"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF
UniProtKB:P42574, CASP3","CHEMBL.COMPOUND:CHEMBL600, Acetylcysteine"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF
UniProtKB:Q12882, DPYD",MESH:D024506
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:O43272, PRODH
UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF",UMLS:C0086222
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF
UniProtKB:P49638, TTPA",CHEMBL.COMPOUND:CHEMBL2109588
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00374, DHFR
UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF","CHEMBL.COMPOUND:CHEMBL2369717, (2S)-2-[[(2S)-4-Amino-2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[16-[(2S)-2-[[(2S)-5-amino-1-[[(2S,3S)-1-[[(2S,3S)-1-[[(2S)-1-[[(1S)-1-carboxy-2-(1H-indol-3-yl)ethyl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1,5-dioxopentan-2-yl]carbamoyl]pyrrolidin-1-yl]-16-oxohexadecanoyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxybutanoyl]amino]-4-methylpentanoyl]amino]-4-oxobutanoyl]amino]-3-phenylpropanoic acid"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42898, MTHFR
UniProtKB:Q12882, DPYD","CHEMBL.COMPOUND:CHEMBL1543, Glutathione"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42574, CASP3
UniProtKB:P42898, MTHFR",CHEMBL.COMPOUND:CHEMBL1201583
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF",MESH:D012045
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF","CHEMBL.COMPOUND:CHEMBL337702, Oxidopamine"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P49638, TTPA
UniProtKB:Q12882, DPYD",UMLS:C0772158
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42574, CASP3
UniProtKB:Q12882, DPYD",UMLS:C0243071
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:O43272, PRODH
UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF","CHEMBL.COMPOUND:CHEMBL1200574, Sodium chloride"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00374, DHFR
UniProtKB:P01138, NGF
UniProtKB:P42898, MTHFR
UniProtKB:Q12882, DPYD","CHEMBL.COMPOUND:CHEMBL295069, [(2R,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methyl [[(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphate"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:O43272, PRODH
UniProtKB:P00441, SOD1
UniProtKB:P42898, MTHFR
UniProtKB:Q12882, DPYD","CHEMBL.COMPOUND:CHEMBL1232653, Flavin adenine dinucleotide"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF","CHEMBL.COMPOUND:CHEMBL135, Estradiol"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42898, MTHFR",CHEMBL.COMPOUND:CHEMBL11359
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:Q12882, DPYD",MESH:Q000037
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:O43272, PRODH
UniProtKB:P00374, DHFR
UniProtKB:P01375, TNF
UniProtKB:P42898, MTHFR","CHEMBL.COMPOUND:CHEMBL1234613, CID 10897651"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42898, MTHFR",CHEMBL.COMPOUND:CHEMBL1201451
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01375, TNF
UniProtKB:P42574, CASP3","CHEMBL.COMPOUND:CHEMBL71595, CID 22326046"
"icees-dili:MESH:D006760, Hospitalization","arax:MESH:D009422, nervous system disorder","MESH:D006760, Hospitalization","MESH:D009422, nervous system disorder","MONDO:0005071, nervous system disorder","UniProtKB:P00441, SOD1
UniProtKB:P01138, NGF
UniProtKB:P01210, PENK
UniProtKB:P01375, TNF","CHEMBL.COMPOUND:CHEMBL2146121, CALCIUM"
